Comment,Designator,Footprint,LCSC
1uF,C1,Capacitor_SMD:C_0805_2012Metric,
22pF,"C2,C3",Capacitor_SMD:C_0805_2012Metric,
10uF,C4,Capacitor_SMD:C_0805_2012Metric,
0.1uF,"C5,C6,C7,C8,C9",Capacitor_SMD:C_0805_2012Metric,
PRTR5V0U2X,D1,Package_TO_SOT_SMD:SOT-143,
D_Small,"D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D25",Diode_SMD:D_SOD-123,
SK6812MINI-E,"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13",kicad-keyboard-parts:MX_SK6812MINI-E,
500m,F1,Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
MountingHole,"H1,H2,H3,H4",MountingHole:MountingHole_2.2mm_M2_DIN965_Pad,
AVR-ISP-6,J1,random-keyboard-parts:Reset_Pretty-Mask,
MX-NoLED,"MX1,MX2,MX3,MX4,MX5,MX6,MX7,MX8,MX9,MX10,MX11,MX12",MX_Only:MXOnly-1U-NoLED,
5.1k,"R1,R2",Resistor_SMD:R_0805_2012Metric,
22,"R3,R4",Resistor_SMD:R_0805_2012Metric,
1k,R5,Resistor_SMD:R_0805_2012Metric,
10k,R6,Resistor_SMD:R_0805_2012Metric,
499,R7,Resistor_SMD:R_0805_2012Metric,
SW_Push,SW1,random-keyboard-parts:SKQG-1155865,
Rotary_Encoder_Switch,"SW2,SW3",Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
AT90USB1286-AU,U1,Package_QFP:TQFP-64_14x14mm_P0.8mm,
HRO-TYPE-C-31-M-12,USB1,Type-C:HRO-TYPE-C-31-M-12-HandSoldering,
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,
