"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"SOT-143";1;"PRTR5V0U2X";;;
2;"MX4,MX2,MX12,MX11,MX10,MX9,MX8,MX7,MX6,MX5,MX3,MX1";"MXOnly-1U-NoLED";12;"MX-NoLED";;;
3;"D5,D2,D11,D7,D3,D13,D12,D10,D9,D8,D6,D4";"MX_SK6812MINI-E";12;"SK6812MINI-E";;;
4;"C6,C9,C8,C7,C5";"C_0805_2012Metric";5;"0.1uF";;;
5;"U1";"TQFP-64_14x14mm_P0.8mm";1;"AT90USB1286-AU";;;
6;"H4,H3,H2,H1";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole";;;
7;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
8;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
9;"SW3,SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";2;"Rotary_Encoder_Switch";;;
10;"SW1";"SKQG-1155865";1;"SW_Push";;;
11;"R7";"R_0805_2012Metric";1;"499";;;
12;"R6";"R_0805_2012Metric";1;"10k";;;
13;"R5";"R_0805_2012Metric";1;"1k";;;
14;"R4,R3";"R_0805_2012Metric";2;"22";;;
15;"R2,R1";"R_0805_2012Metric";2;"5.1k";;;
16;"J1";"Reset_Pretty-Mask";1;"AVR-ISP-6";;;
17;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500m";;;
18;"D25,D24,D23,D22,D21,D20,D19,D18,D17,D16,D15,D14";"D_SOD-123";12;"D_Small";;;
19;"C4";"C_0805_2012Metric";1;"10uF";;;
20;"C3,C2";"C_0805_2012Metric";2;"22pF";;;
21;"C1";"C_0805_2012Metric";1;"1uF";;;
