Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric",84.787500,-61.912500,180.000000,bottom
"C2","22pF","C_0805_2012Metric",99.868750,-76.200000,0.000000,bottom
"C3","22pF","C_0805_2012Metric",99.868750,-82.550000,180.000000,bottom
"C4","10uF","C_0805_2012Metric",62.562500,-72.231250,0.000000,bottom
"C5","0.1uF","C_0805_2012Metric",62.562500,-74.612500,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",62.562500,-84.137500,0.000000,bottom
"C7","0.1uF","C_0805_2012Metric",62.562500,-79.375000,0.000000,bottom
"C8","0.1uF","C_0805_2012Metric",62.562500,-81.756250,0.000000,bottom
"C9","0.1uF","C_0805_2012Metric",62.562500,-76.993750,0.000000,bottom
"D1","PRTR5V0U2X","SOT-143",70.950000,-76.223750,0.000000,bottom
"D2","SK6812MINI-E","MX_SK6812MINI-E",69.850000,-92.075000,180.000000,bottom
"D3","SK6812MINI-E","MX_SK6812MINI-E",88.900000,-92.075000,180.000000,bottom
"D4","SK6812MINI-E","MX_SK6812MINI-E",107.950000,-92.075000,180.000000,bottom
"D5","SK6812MINI-E","MX_SK6812MINI-E",127.000000,-92.075000,180.000000,bottom
"D6","SK6812MINI-E","MX_SK6812MINI-E",69.850000,-111.125000,180.000000,bottom
"D7","SK6812MINI-E","MX_SK6812MINI-E",88.900000,-111.125000,180.000000,bottom
"D8","SK6812MINI-E","MX_SK6812MINI-E",107.950000,-111.125000,180.000000,bottom
"D9","SK6812MINI-E","MX_SK6812MINI-E",127.000000,-111.125000,180.000000,bottom
"D10","SK6812MINI-E","MX_SK6812MINI-E",69.850000,-130.175000,180.000000,bottom
"D11","SK6812MINI-E","MX_SK6812MINI-E",88.900000,-130.175000,180.000000,bottom
"D12","SK6812MINI-E","MX_SK6812MINI-E",107.950000,-130.175000,180.000000,bottom
"D13","SK6812MINI-E","MX_SK6812MINI-E",127.000000,-130.175000,180.000000,bottom
"D14","D_Small","D_SOD-123",76.993750,-98.425000,90.000000,bottom
"D15","D_Small","D_SOD-123",96.043750,-98.425000,90.000000,bottom
"D16","D_Small","D_SOD-123",115.093750,-98.425000,90.000000,bottom
"D17","D_Small","D_SOD-123",134.143750,-98.425000,90.000000,bottom
"D18","D_Small","D_SOD-123",76.993750,-117.475000,90.000000,bottom
"D19","D_Small","D_SOD-123",96.043750,-117.475000,90.000000,bottom
"D20","D_Small","D_SOD-123",115.093750,-117.475000,90.000000,bottom
"D21","D_Small","D_SOD-123",134.143750,-117.475000,90.000000,bottom
"D22","D_Small","D_SOD-123",76.993750,-136.525000,90.000000,bottom
"D23","D_Small","D_SOD-123",96.043750,-136.525000,90.000000,bottom
"D24","D_Small","D_SOD-123",115.093750,-136.525000,90.000000,bottom
"D25","D_Small","D_SOD-123",134.143750,-136.587500,90.000000,bottom
"F1","500m","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",62.706250,-67.368750,90.000000,bottom
"R1","5.1k","R_0805_2012Metric",69.056250,-69.993750,90.000000,bottom
"R2","5.1k","R_0805_2012Metric",71.437500,-69.993750,90.000000,bottom
"R3","22","R_0805_2012Metric",72.881250,-63.500000,180.000000,bottom
"R4","22","R_0805_2012Metric",71.581250,-65.881250,180.000000,bottom
"R5","1k","R_0805_2012Metric",80.962500,-84.137500,0.000000,bottom
"R6","10k","R_0805_2012Metric",117.475000,-85.725000,0.000000,bottom
"R7","499","R_0805_2012Metric",68.118750,-82.550000,0.000000,bottom
"SW1","SW_Push","SKQG-1155865",127.793750,-81.756250,180.000000,bottom
"U1","AT90USB1286-MU","QFN-64-1EP_9x9mm_P0.5mm_EP7.5x7.5mm",81.131250,-70.018750,270.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",65.881250,-53.975000,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",99.525000,-79.431250,0.000000,bottom
